Neighborhood,Latitude,Longitude
"Barra, Kanpur",26.43651158185418,80.28410974063011
Bhitargaon,26.21157000000005,80.27301000000006
"Birhana Road, Kanpur",26.42865834210118,80.38628290132293
Bithoor,26.51967146434187,80.25879411608547
"Chaman Ganj, Kanpur",26.467178655325988,80.33499630794532
Chobepur,26.61737000000005,80.19634000000008
Govind Nagar,26.449520000000064,80.30274000000009
Jajmau,26.418900000000065,80.40744000000007
Kakadeo,26.475430000000074,80.28700000000003
"Kalyanpur, Uttar Pradesh",26.490680000000054,80.25215000000009
Kanpur Cantonment,26.453790000000026,80.36283000000003
"Latouche Road, Kanpur",26.466097488777894,80.34706107715456
"The Mall, Kanpur",26.46893170923684,80.35977566020455
McRobertganj,26.48290000000003,80.32901000000004
"Meston Road, Kanpur",26.468860884053807,80.34833044202689
Naramau,26.530830000000037,80.23555000000005
Padri Lalpur,26.38838000000004,80.32378000000006
"Panki, Kanpur",26.45791440974284,80.21657990630568
Ratan Lal Nagar,26.447290000000066,80.28482000000008
Rawatpur,26.477770000000078,80.27634000000006
"VIP Road, Kanpur",26.485630078030223,80.32398814090162
